drug 	 gene 	 date 	 conc 	 dataNum 	 objNum 	numTxnSites 	 intensity 
Triptolide	MYC	141113	Ctrl	19	1	1	4048.000000
Triptolide	MYC	141113	Ctrl	19	2	2	3746.000000
Triptolide	MYC	141113	Ctrl	19	2	2	2993.000000
Triptolide	MYC	141113	Ctrl	19	3	2	12508.000000
Triptolide	MYC	141113	Ctrl	19	3	2	14147.000000
Triptolide	MYC	141113	Ctrl	20	1	0	0.000000
Triptolide	MYC	141113	Ctrl	20	2	0	0.000000
Triptolide	MYC	141113	Ctrl	20	3	0	0.000000
Triptolide	MYC	141113	Ctrl	21	1	2	5426.000000
Triptolide	MYC	141113	Ctrl	21	1	2	3445.000000
Triptolide	MYC	141113	Ctrl	21	2	0	0.000000
Triptolide	MYC	141113	Ctrl	22	1	1	2098.000000
Triptolide	MYC	141113	Ctrl	22	2	2	25748.000000
Triptolide	MYC	141113	Ctrl	22	2	2	11675.000000
Triptolide	MYC	141113	Ctrl	23	1	1	5814.000000
Triptolide	MYC	141113	Ctrl	23	2	2	2907.000000
Triptolide	MYC	141113	Ctrl	23	2	2	2289.000000
Triptolide	MYC	141113	Ctrl	24	1	1	619.000000
Triptolide	MYC	141113	Ctrl	24	2	0	0.000000
Triptolide	MYC	141113	Ctrl	25	1	2	883.000000
Triptolide	MYC	141113	Ctrl	25	1	2	937.000000
Triptolide	MYC	141113	Ctrl	25	2	1	995.000000
Triptolide	MYC	141113	Ctrl	26	1	2	4221.000000
Triptolide	MYC	141113	Ctrl	26	1	2	2701.000000
Triptolide	MYC	141113	Ctrl	26	2	2	1157.000000
Triptolide	MYC	141113	Ctrl	26	2	2	724.000000
Triptolide	MYC	141113	Ctrl	26	3	0	0.000000
Triptolide	MYC	141113	Ctrl	27	1	1	3239.000000
Triptolide	MYC	141113	Ctrl	27	2	1	2971.000000
Triptolide	MYC	141114	100nM	1	1	0	0.000000
Triptolide	MYC	141114	100nM	1	2	2	813.000000
Triptolide	MYC	141114	100nM	1	2	2	1075.000000
Triptolide	MYC	141114	100nM	1	3	2	1817.000000
Triptolide	MYC	141114	100nM	1	3	2	1865.000000
Triptolide	MYC	141114	100nM	1	4	2	3667.000000
